scenario_id,disruption_type,severity,remaining_stops,has_memory,delay_baseline_a_mins,delay_baseline_b_mins,delay_approach_c_mins,improvement_over_a_pct,improvement_over_b_pct,agent_response_time_s
43,road_block,high,6,True,181,70.55,0,100.0,100.0,3.54
44,vehicle_breakdown,high,8,True,186,37.54,0,100.0,100.0,7.75
45,road_block,high,3,True,190,93.59,13.88,92.69,85.17,2.2
46,weather,low,4,True,35,0,0,100.0,0,6.51
47,vehicle_breakdown,high,7,True,174,43.49,0,100.0,100.0,4.24
48,road_block,high,2,True,190,99.59,30.39,84.01,69.49,3.79
49,vehicle_breakdown,high,3,True,184,94.23,31.83,82.7,66.22,7.22
50,weather,high,6,True,173,68.05,0,100.0,100.0,5.76
51,weather,high,7,True,174,72.53,0,100.0,100.0,5.64
52,order_modification,low,2,True,50,13.81,0,100.0,100.0,2.23
53,order_modification,high,7,True,170,73.16,0,100.0,100.0,2.39
54,accident,medium,7,True,90,0,0,100.0,0,3.73
55,road_block,medium,8,True,97,0,0,100.0,0,2.27
56,accident,high,8,True,185,69.21,0,100.0,100.0,4.64
57,weather,medium,3,True,82,40.73,0,100.0,100.0,8.11
58,road_block,medium,5,True,93,13.26,0,100.0,100.0,3.79
59,order_modification,low,6,True,41,0,0,100.0,0,8.32
60,road_block,high,6,True,189,81.34,0,100.0,100.0,6.74
61,weather,high,7,True,173,54.94,0,100.0,100.0,5.23
62,vehicle_breakdown,low,7,True,39,0,0,100.0,0,2.86
63,order_modification,medium,6,True,98,12.94,0,100.0,100.0,2.74
64,weather,low,6,True,43,0,0,100.0,0,4.99
65,road_block,high,6,True,183,44.05,7.58,95.86,82.8,7.9
66,road_block,high,8,True,182,65.03,0,100.0,100.0,3.32
67,accident,low,5,True,51,0,0,100.0,0,4.99
68,weather,high,3,True,172,96.57,41.76,75.72,56.75,7.94
69,road_block,medium,5,True,85,13.96,0,100.0,100.0,4.76
70,weather,high,6,True,175,77.78,0,100.0,100.0,6.76
71,vehicle_breakdown,high,8,True,177,50.56,0,100.0,100.0,4.01
72,road_block,high,2,True,171,110.85,36.14,78.86,67.4,5.54
73,accident,low,8,True,52,0,0,100.0,0,5.19
74,order_modification,high,7,True,185,35.59,0,100.0,100.0,7.64
75,road_block,low,3,True,38,3.97,0,100.0,100.0,2.3
76,road_block,medium,2,True,80,44.49,0,100.0,100.0,3.03
77,accident,low,7,True,38,0,0,100.0,0,3.72
78,order_modification,low,3,True,41,9.31,0,100.0,100.0,8.12
79,vehicle_breakdown,low,6,True,51,0,0,100.0,0,2.47
80,order_modification,low,6,True,42,0,0,100.0,0,4.04
81,vehicle_breakdown,medium,2,True,81,47.69,0,100.0,100.0,2.96
82,accident,high,2,True,181,106.56,44.77,75.27,57.99,2.24
83,road_block,low,8,True,46,0,0,100.0,0,3.09
84,order_modification,low,6,True,50,0,0,100.0,0,5.22
85,vehicle_breakdown,high,6,True,178,51.51,1.36,99.24,97.37,4.54
86,road_block,medium,6,True,84,19.62,0,100.0,100.0,4.02
87,order_modification,high,4,True,180,73.77,23.64,86.87,67.95,6.44
88,order_modification,medium,4,True,87,21.73,0,100.0,100.0,7.76
89,accident,medium,8,True,92,0,0,100.0,0,6.64
90,weather,low,5,True,44,3.71,0,100.0,100.0,3.4
91,weather,medium,5,True,90,8.14,0,100.0,100.0,6.86
92,weather,high,3,True,185,103.68,30.95,83.27,70.15,5.59
93,accident,high,7,True,173,57.83,0,100.0,100.0,3.79
94,order_modification,medium,6,True,93,0,0,100.0,0,6.61
95,vehicle_breakdown,low,5,True,35,0,0,100.0,0,5.13
96,road_block,medium,5,True,87,30.52,0,100.0,100.0,8.26
97,vehicle_breakdown,high,6,True,187,89.68,0,100.0,100.0,5.99
98,vehicle_breakdown,low,4,True,42,7.58,0,100.0,100.0,4.58
99,order_modification,low,6,True,35,0,0,100.0,0,4.73
100,order_modification,high,7,True,181,43.15,11.71,93.53,72.85,5.67
